Method,QL(a=0.005),QL(a=0.025),QL(a=0.05),QL(a=0.5),QL(a=0.95),QL(a=0.975),QL(a=0.995),MSE,MAPE(%)
QRF,0.028587025294966473,0.08833050929462695,0.12349815295815296,0.1825670146846618,0.13527438332908934,0.08303109922756989,0.022037905610729165,0.3415958561751974,1.611053389353777
RF-GAP,0.02667131516849164,0.08243087386469741,0.1235617214158391,0.19408980561921743,0.13519892708598605,0.08185476657329607,0.02168936898395724,0.41205601745182924,1.7659606410917923
OOB,0.030220257703081232,0.10696129403276462,0.15034290722349547,0.20915708343943643,0.14039834988540884,0.08395359307359315,0.021284041337747243,0.5738544348357525,1.9729594271839492
ORIGINAL,0.028546010440539855,0.09688502970885324,0.13280981835158306,0.19981802054154996,0.1379448017995078,0.08402083694083703,0.021605696969696993,0.5170998691791867,1.8427647788612884
