Criterion,Method,QL(a=0.005),QL(a=0.025),QL(a=0.05),QL(a=0.5),QL(a=0.95),QL(a=0.975),QL(a=0.995),MSE,MAPE(%)
squared_error,QRF,0.012899514171737354,0.04042926924042268,0.06944933289244933,0.3112485807343211,0.11123995872450877,0.06700989638387289,0.018595360347433955,0.7746610587111168,8.12852230438253
squared_error,RF-GAP,0.01313252432895647,0.040733944587095644,0.06922511699077828,0.3110811826085987,0.11219217112642939,0.06717285889570894,0.019542885806208967,0.7679743042614808,8.142609415876525
squared_error,OOB,0.012831275742486653,0.04065136441130889,0.07016318755295309,0.31488477177368135,0.1116495632593784,0.06722851614799354,0.0188890105330131,0.7911915516356776,8.204427707286666
squared_error,ORIGINAL,0.012432468112858837,0.04032318226041105,0.06938856646551188,0.31186718957739984,0.1109031419508351,0.06703290593833904,0.01831338939280549,0.7773482764389976,8.142112808811737
absolute_error,QRF,0.013135712428939968,0.04090844114480129,0.06921148055247921,0.310169008157361,0.11234401940372168,0.06713720819802727,0.01896430191524436,0.7730784319864233,8.09053963206118
absolute_error,RF-GAP,0.013505368972877008,0.04111942029961072,0.0693570936145296,0.30936077704208015,0.11321443885650599,0.06813473173864439,0.019109111968322247,0.7637780054953252,8.089543623463083
absolute_error,OOB,0.0133988794516089,0.04112492061121341,0.06988682348363065,0.3142217727018112,0.11218070911618899,0.06657194981928095,0.019183875523505107,0.7923426176658452,8.182539959587533
absolute_error,ORIGINAL,0.013092142724620857,0.04098189829799325,0.06928514175883414,0.3109290027371787,0.11201508166708482,0.0667910067181344,0.018927151869359185,0.775764287915555,8.108413569446558
