Method,QL(a=0.005),QL(a=0.025),QL(a=0.05),QL(a=0.5),QL(a=0.95),QL(a=0.975),QL(a=0.995),MSE,MAPE(%)
QRF,0.011753662814768157,0.039562544384909235,0.06776299162173496,0.3080318213962038,0.11166781518889357,0.06679344906519406,0.018678192853749602,0.7654796331121033,7.972367598151962
RF-GAP,0.012015598443693635,0.03986952665595317,0.06767262826782466,0.30802667836066083,0.11191130877138808,0.06728860646106072,0.0190280456762107,0.7597031642081061,7.99070373289508
OOB,0.011952594314252543,0.03995732057727362,0.06853483903153218,0.31117435139672145,0.11211029584100403,0.06726291581443572,0.019030947120095988,0.7797758939340484,8.039672038906762
ORIGINAL,0.011579071077069156,0.039535898719127854,0.06772014980156406,0.3084184002606344,0.11136864964185107,0.06669827887987669,0.018562552397858978,0.767062697871544,7.980185322412373
