Method,QL(a=0.005),QL(a=0.025),QL(a=0.05),QL(a=0.5),QL(a=0.95),QL(a=0.975),QL(a=0.995),MSE,MAPE(%)
QRF,0.032087,0.13854000000000002,0.24438000000000004,1.1547333333333334,0.5403600000000004,0.3389316666666669,0.09932933333333342,21.507600000000004,46.176740165876055
RF-GAP,0.03166766666666667,0.13523833333333335,0.23940999999999998,1.1455333333333333,0.5362433333333336,0.3382533333333336,0.09984000000000007,20.9592,46.778381740423505
OOB,0.03243533333333334,0.14035000000000003,0.24880666666666668,1.2463333333333333,0.557286666666667,0.3499583333333336,0.10615266666666676,24.715466666666668,46.927152401693654
ORIGINAL,0.03187866666666667,0.13544000000000003,0.24008000000000002,1.2336333333333331,0.5451366666666669,0.34294666666666684,0.09984300000000007,24.330066666666667,46.12684427735612
